"Player","","Team","born","Height","Position"
"Vincent Laurini","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/06/1989","173 cm","DF"
"Darko Lazović","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","15/09/1990","181 cm","MF"
"Manuel Lazzari","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","29/11/1993","174 cm","MF"
"Léo Sena","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","31/12/1995","175 cm","MF"
"Mehdi Léris","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","23/05/1998","186 cm","MF"
"Karlo Letica","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","11/02/1997","201 cm","GK"
"Gaetano Letizia","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","29/06/1990","173 cm","DF"
"Karol Linetty","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","02/02/1995","176 cm","MF"
"Llorente","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","26/02/1985","195 cm","FW"
"Stanislav Lobotka","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","25/11/1994","172 cm","MF"
"Manuel Locatelli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","08/01/1998","186 cm","MF"
"Maxime López","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","04/12/1997","167 cm","MF"
"Matteo Lovato","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","14/02/2000","194 cm","DF"
"Hirving Lozano","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","30/07/1995","175 cm","FW"
"Lucas Leiva","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","09/01/1987","179 cm","MF"
"Igor Lucatelli","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","21/08/2003","197 cm","GK"
"Luis Alberto","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","28/11/1992","183 cm","MF"
"Luiz Felipe","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/03/1997","187 cm","DF"
"Romelu Lukaku","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","13/05/1993","192 cm","FW"
"Saša Lukić","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/08/1996","182 cm","MF"
"Senad Lulić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","18/01/1986","183 cm","MF"
"Sebastiano Luperto","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/09/1996","191 cm","DF"
"Zito Luvumbo","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/03/2002","171 cm","FW"
"Lyanco","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","01/02/1997","187 cm","DF"
"Charalampos Lykogiannis","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","22/10/1993","186 cm","DF"
"Ibrahima M'Baye","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","19/11/1994","188 cm","DF"
"Lisandro Magallán","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","27/09/1993","185 cm","DF"
"Giulio Maggiore","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","12/03/1998","184 cm","MF"
"Francesco Magnanelli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","12/11/1984","182 cm","MF"
"Giangiacomo Magnani","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","04/10/1995","190 cm","DF"
"Jean-Victor Makengo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","12/06/1998","177 cm","MF"
"Nikola Maksimović","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","25/11/1991","193 cm","DF"
"Kévin Malcuit","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","31/07/1991","180 cm","DF"
"Daniel Maldini","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","11/10/2001","185 cm","MF"
"Ruslan Malinovskiy","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","04/05/1993","181 cm","MF"
"Dennis Man","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","26/08/1998","183 cm","FW"
"Gianluca Mancini","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/04/1996","193 cm","DF"
"Rolando Mandragora","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","29/06/1997","183 cm","MF"
"Mario Mandžukić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/05/1986","190 cm","FW"
"Nicoló Manfredini","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","01/05/1988","190 cm","GK"
"Kostas Manolas","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","14/06/1991","189 cm","DF"
"Federico Marchetti","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","07/02/1983","188 cm","GK"
"Riccardo Marchizza","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","26/03/1998","187 cm","DF"
"Iulius Mărginean","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","03/07/2001","190 cm","MF"
"Daniele Mariani","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","20/07/2001","181 cm","DF"
"Răzvan Marin","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","23/05/1996","174 cm","MF"
"Mário Rui","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","27/05/1991","170 cm","DF"
"Marlon","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","07/09/1995","182 cm","DF"
