# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Player","","Team","born","Height","Position"
"Leroy Abanda Mfomo","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","07/06/2000","178 cm","DF"
"Mohamed Abukar","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","01/01/1999","186 cm","MF"
"Gennaro Acampora","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","29/03/1994","177 cm","MF"
"Francesco Acerbi","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","10/02/1988","192 cm","DF"
"Enzo Adeagbo","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","11/01/2002","191 cm","DF"
"Adrien Silva","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","15/03/1989","175 cm","MF"
"Giuseppe Agostino","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","21/12/2002","189 cm","GK"
"Lucien Agoumé","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","09/02/2002","185 cm","MF"
"Kevin Agudelo","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","14/11/1998","178 cm","MF"
"Marley Aké","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","05/01/2001","177 cm","FW"
"Jean-Daniel Akpa-Akpro","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","11/10/1992","180 cm","MF"
"Alejandro Marqués","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","04/08/2000","189 cm","FW"
"Alex Sandro","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/01/1991","180 cm","DF"
"Vincenzo Alfieri","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","04/11/2002","176 cm","MF"
"Marco Alia","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","26/04/2000","193 cm","GK"
"Wisdom Amey","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","11/08/2005","187 cm","DF"
"Bruno Amione","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","03/01/2002","187 cm","DF"
"Sofyan Amrabat","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","21/08/1996","185 cm","MF"
"Djavan Anderson","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","21/04/1995","178 cm","DF"
"Andreas Pereira","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","01/01/1996","178 cm","MF"
"Angelo da Costa","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/11/1983","186 cm","GK"
"Ebenezer Annan","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","21/08/2002","???","DF"
"Cristian Ansaldi","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","20/09/1986","181 cm","DF"
"Luca Antei","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","19/04/1992","188 cm","DF"
"Valentin Antov","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","09/11/2000","187 cm","DF"
"Simone Aresti","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","15/03/1986","189 cm","GK"
"Nicolò Armini","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","07/03/2001","185 cm","DF"
"Alex Arnofoli","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","21/02/2003","184 cm","DF"
"Tolgay Arslan","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","16/08/1990","180 cm","MF"
"Arthur","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","12/08/1996","171 cm","MF"
"Federico Artioli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","12/06/2001","???","MF"
"Gabriele Artistico","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","14/07/2002","188 cm","FW"
"Kwadwo Asamoah","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/12/1988","173 cm","MF"
"Kristoffer Askildsen","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","09/01/2001","190 cm","MF"
