#Leroy Abanda Mfomo
#Mohamed Abukar
Gennaro Acampora
Francesco Acerbi
Enzo Adeagbo
Adrien Silva
Giuseppe Agostino
Lucien Agoumé
#Kevin Agudelo
#Marley Aké
#Jean-Daniel Akpa-Akpro
Alejandro Marqués
Alex Sandro
#Vincenzo Alfieri
#Marco Alia
#Wisdom Amey
#Bruno Amione
Sofyan Amrabat
Djavan Anderson
#Andreas Pereira
Angelo da Costa
#Ebenezer Annan
#Cristian Ansaldi
#Luca Antei
#Valentin Antov
#Simone Aresti
#Nicolò Armini
#Alex Arnofoli
Tolgay Arslan
Arthur
#Federico Artioli
#Gabriele Artistico
#Kwadwo Asamoah
#Kristoffer Askildsen
#Emil Audero
#Tommaso Augello
#Lorenzo Avogadri
Kaan Ayhan
#Milan Badelj
Tiemoué Bakayoko
#Keita Baldé
#Andri Baldursson
#Botond Balogh
#Mory Bamba
#Abdoul Bane
$Mattia Bani
#Antonín Barák
Federico Barba
Nicolò Barella
#Madiu Bari
#Musa Barrow
#Daniele Baselli
#Salah Basha
Alessandro Bastoni
#Simone Bastoni
Thomas Battistella
#Valon Behrami
Andrea Belotti
#Ahmad Benali
#Marco Benassi
Ismaël Bennacer
Rodrigo Bentancur
Alessandro Berardi
Domenico Berardi
#Bartosz Bereszyński
Federico Bernardeschi
#Filippo Berti
#Lorenzo Bertini
#Marco Bertini
Nicoló Bertola
#Alessandro Bianco
Cristiano Biraghi
#Davide Biraschi
Salvatore Boccia
#Pietro Boer
#Jérémie Boga
Giacomo Bonaventura
#Federico Bonazzoli
#Nicholas Bonfanti
#Kevin Bonifazi
Leonardo Bonucci
#Nicola Borghetto
Borja Mayoral
Borja Valero
#Riccardo Boscolo Chio
#Mehdi Bourabia
#Edoardo Bove
#Jayden Braaf
#Eugenio Bracelli
Brahim Díaz
Federico Brancolini
Bremer
Marcelo Brozović
#Gastón Brugman
#Juan Brunetta
Bruno Alves
#Bruno Peres
Gianluigi Buffon
#Alessandro Buongiorno
#Martín Cáceres
#Felipe Caicedo
#Bernardo Calabrese
#Arturo Calabresi
Davide Calabria
#Riccardo Calafiori
#Mattia Caldara
#Luca Caldirola
Hakan Çalhanoğlu
#Drissa Camara
#Matteo Cancellieri
Antonio Candreva
#Riccardo Capellini
#Elio Capradossi
#Gianluca Caprari
#Francesco Caputo
#Andrea Carboni
#Franco Carboni
Carles Pérez
#Matteo Carnelos
#Giuseppe Caso
Francesco Cassata
#Gaetano Castrovilli
#Danilo Cataldi
#Federico Ceccherini
#Christian Celesia
#Luca Ceppitelli
#Alberto Cerri
Yıldırım Mert Çetin
#Julian Chabot
Giorgio Chiellini
Federico Chiesa
#Vlad Chiricheş
#Lorenzo Chiti
#Riccardo Ciervo
#Luca Cigarini
Giuseppe Ciocci
#Antonio Cioffi
#Denilho Cleonise
#Ebrima Colley
#Omar Colley
#Simone Colombi
#Andrea Consigli
Andrea Conti
Gianluca Contini
#Nikita Contini
Alex Cordaz
Andreas Cornelius
Joaquín Correa
#Davide Costanzo
Alessio Cragno
Gian Marco Crespi
#Domenico Criscito
Bryan Cristante
Cristiano Ronaldo
Juan Cuadrado
#Giuseppe Cuomo
#Francesco Cusumano
#Wylan Cyprien
#Lennart Czyborra
#Szymon Czyż
Giuseppe D'Agostino
#Francesco D'Alterio
Danilo D'Ambrosio
Giovanni D'Aprile
#Cosimo Da Graca
#Bryan Dabo
Mikkel Damsgaard
#Daniel Bessa
#Daniel Fuzato
Danilo
#Danilo
#Ebrima Darboe
Matteo Darmian
#Paweł Dawidowicz
Matthijs de Ligt
#Sebastien De Maio
#Davide De Marino
Rodrigo de Paul
#Marten de Roon
#Lorenzo De Silvestri
Stefan de Vrij
#Koni De Winter
#Grégoire Defrel
Alessandro Deiola
#Isaias Del Pupo
Cristian Dell'Orco
Merih Demiral
Diego Demme
#Fabio Depaoli
#Mattia Destro
#Samuel Di Carmine
#Enrico Di Gesù
Giovanni Di Lorenzo
#Alessandro Di Pardo
#Giuseppe Di Serio
#Amadou Diambo
Amadou Diawara
#Daan Dierckx
#Mitchell Dijks
Federico Dimarco
Diogo Dalot
#Koffi Djidji
#Berat Djimsiti
Nicolás Domínguez
#Antonio Donnarumma
Gianluigi Donnarumma
#Bartłomiej Drągowski
#Denis Drăguş
#Radu Drăgușin
#Daniel Dumbrăvanu
#Alfred Duncan
#Eduard Dutu
Paulo Dybala
Edin Džeko
#Filip Đuričić
#Steeve Eboa
#Eduardo Henrique
#Albin Ekdal
Stephan El Shaarawy
#Eljif Elmas
Christian Eriksen
#Martin Erlić
#Gonzalo Escalante
#Nahuel Estévez
#Valentin Eysseric
Fabián Ruiz
#Nicolò Fagioli
#Paolo Faragò
#Davide Faraoni
#Simone Farelli
#Mohamed Fares
#Andrea Favilli
#Federico Fazio
#Félix Correia
#Amir Feratovič
#Erick Ferigra
#Alex Ferrari
Gianmarco Ferrari
#Marco Festa
#Fernando Forestieri
#Daam Foulon
#Gianluca Frabotta
#Damiano Franco
#Remo Freuler
#Marco Frigerio
#Alessio Furlanetto
#Manolo Gabbiadini
#Gabriel Pereira
Roberto Gagliardini
Riccardo Gagliolo
Adolfo Gaich
#Andrey Galabinov
#Giovanni Garofani
Manuel Gasparini
#Ludovico Gelmi
Gerard Deulofeu
$Gervinho
#Paolo Ghiglione
#Davide Ghislandi
#Faouzi Ghoulam
Kamil Glik
Diego Godín
#Amer Gojak
#Edoardo Goldaniga
#Vladimir Golemić
Pierluigi Gollini
Gonzalo Villar
#Piergraziano Gori
Robin Gosens
Alberto Grassi
#Jean Greco
#Koray Günter
#Emmanuel Gyabuaa
#Emmanuel Gyasi
Achraf Hakimi
Samir Handanovič
#Lukáš Haraslín
#Hans Hateboer
Jens Hauge
Theo Hernández
