Gennaro Acampora
Francesco Acerbi
Enzo Adeagbo
Adrien Silva
Giuseppe Agostino
Lucien Agoumé
Alejandro Marqués
Alex Sandro
Sofyan Amrabat
Djavan Anderson
Angelo da Costa
Tolgay Arslan
Arthur
Kaan Ayhan
Tiemoué Bakayoko
Mattia Bani
Federico Barba
Nicolò Barella
Alessandro Bastoni
Thomas Battistella
Andrea Belotti
Ismaël Bennacer
Rodrigo Bentancur
Alessandro Berardi
Domenico Berardi
Federico Bernardeschi
Nicoló Bertola
Cristiano Biraghi
Salvatore Boccia
Giacomo Bonaventura
Leonardo Bonucci
Borja Mayoral
Borja Valero
Brahim Díaz
Federico Brancolini
Bremer
Marcelo Brozović
Bruno Alves
Gianluigi Buffon
Davide Calabria
Hakan Çalhanoğlu
Antonio Candreva
Carles Pérez
Francesco Cassata
Yıldırım Mert Çetin
Giorgio Chiellini
Federico Chiesa
Giuseppe Ciocci
Andrea Conti
Gianluca Contini
Alex Cordaz
Andreas Cornelius
Joaquín Correa
Alessio Cragno
Gian Marco Crespi
Bryan Cristante
Cristiano Ronaldo
Juan Cuadrado
Giuseppe D'Agostino
Danilo D'Ambrosio
Giovanni D'Aprile
Mikkel Damsgaard
Danilo
Matteo Darmian
Matthijs de Ligt
Rodrigo de Paul
Stefan de Vrij
Alessandro Deiola
Cristian Dell'Orco
Merih Demiral
Diego Demme
Giovanni Di Lorenzo
Amadou Diawara
Federico Dimarco
Diogo Dalot
Nicolás Domínguez
Gianluigi Donnarumma
Paulo Dybala
Edin Džeko
Stephan El Shaarawy
Christian Eriksen
Fabián Ruiz
Gianmarco Ferrari
Roberto Gagliardini
Riccardo Gagliolo
Adolfo Gaich
Manuel Gasparini
Gerard Deulofeu
$Gervinho
Kamil Glik
Diego Godín
Pierluigi Gollini
Gonzalo Villar
Robin Gosens
Alberto Grassi
Achraf Hakimi
Samir Handanovič
Jens Hauge
Theo Hernández
Elseid Hysaj
Zlatan Ibrahimović
Ivan Ilić
Josip Iličič
Roberto Inglese
Lorenzo Insigne
Roberto Insigne
João Pedro
Bogdan Jočić
José Callejón
Ibrahim Karamoko
Franck Kessié
Simon Kjær
Aleksandr Kokorin
Aleksandar Kolarov
Kalidou Koulibaly
Viktor Kovalenko
Dimo Krastev
Rade Krunić
Dejan Kulusevski
Jasmin Kurtić
Valerio Labriola
Gianluca Lapadula
Manuel Lazzari
Llorente
$Stanislav Lobotka
Manuel Locatelli
Matteo Lovato
Igor Lucatelli
Luis Alberto
Romelu Lukaku
Sebastiano Luperto
Lyanco
Ibrahima M'Baye
Francesco Magnanelli
Nikola Maksimović
Daniel Maldini
Ruslan Malinovskiy
Gianluca Mancini
Mario Mandžukić
Kostas Manolas
Federico Marchetti
Răzvan Marin
Mário Rui
Lautaro Martínez
Antonio Mazzotta
Joakim Mæhle
Weston McKennie
Gary Medel
Dries Mertens
Nikos Michelis
Massimiliano Mignogna
Valentin Mihăilă
Nikola Milenković
Sergej Milinković-Savić
Vanja Milinković-Savić
Aleksey Miranchuk
Antonio Mirante
Henrikh Mkhitaryan
Leonardo Moleri
Salvatore Molina
Morata
Luis Muriel
Radja Nainggolan
Ilija Nestorovski
Victor Osimhen
David Ospina
Daniele Padelli
Rodrigo Palacio
Goran Pandev
Javier Pastore
Pau López
Leonardo Pavoletti
Pedro
Graziano Pellè
Lorenzo Pellegrini
Luca Pellegrini
Pepe Reina
Roberto Pereyra
Ivan Perišić
Matteo Pessina
Stefano Piccinini
Andrea Pinamonti
Pierluigi Pinto
Andrea Poli
Matteo Politano
Manolo Portanova
Ignacio Pussetto
Fabio Quagliarella
Adrien Rabiot
Ivan Radovanović
Stefan Radu
Rafael Leão
Hamza Rafia
Antonio Raimondo
Gastón Ramírez
Aaron Ramsey
Antonio Ranieri
Andrea Ranocchia
Filippo Ranocchia
Giacomo Raspadori
Federico Ravaglia
Ante Rebić
Vasco Regini
Franck Ribéry
Ricardo Rodríguez
Luis Rojas
Filippo Romagna
Alessio Romagnoli
Aristóteles Romero
Cristian Romero
Francesco Rossi
Nicolò Rovella
Daniele Rugani
Alexis Saelemaekers
Samir
Samu Castillejo
Antonio Sanabria
Alexis Sánchez
Giorgio Scalvini
Stefano Sensi
Eldor Shomurodov
Giovanni Simeone
Salvatore Sirigu
Milan Škriniar
Chris Smalling
Roberto Soriano
Leonardo Spinazzola
Filip Stanković
Kevin Strootman
Jens Stryger Larsen
Stefano Sturaro
Wojciech Szczęsny
Filippo Terracciano
Pietro Terracciano
Mattia Timmoneri
Tòfol Montiel
Jeremy Toljan
Rafael Tolói
Takehiro Tomiyasu
Fikayo Tomori
Sandro Tonali
Lorenzo Tonelli
Ernesto Torregrossa
Samir Ujkani
Lautaro Valenti
Matías Vecino
Simone Verdi
Valerio Verre
Arturo Vidal
Emanuel Vignato
Samuele Vitale
Dušan Vlahović
Walace
Ashley Young
Mattia Zaccagni
Nicola Zalewski
Nicolò Zaniolo
Cristián Zapata
Duván Zapata
Gabriele Zappa
Davide Zappacosta
Simone Zaza
Piotr Zieliński
Joshua Zirkzee
